COUNTRY;ISO3;WHO_REGION;DATA_SOURCE;DATE_UPDATED;TOTAL_VACCINATIONS;PERSONS_VACCINATED_1PLUS_DOSE;TOTAL_VACCINATIONS_PER100;PERSONS_VACCINATED_1PLUS_DOSE_PER100;PERSONS_LAST_DOSE;PERSONS_LAST_DOSE_PER100;VACCINES_USED;FIRST_VACCINE_DATE;NUMBER_VACCINES_TYPES_USED;PERSONS_BOOSTER_ADD_DOSE;PERSONS_BOOSTER_ADD_DOSE_PER100;
Luxembourg;LUX;EURO;REPORTING;23/12/2023;1337940;469285;214;75;462715;74;;30/12/2020;;368527;59;
Latvia;LVA;EURO;REPORTING;23/12/2023;2979624;1344394;156;70;1304787;68;;30/12/2020;;550901;29;
Morocco;MAR;EMRO;REPORTING;31/12/2023;5.54E+07;2.50E+07;150;68;2.35E+07;64;;28/01/2021;;6925973;19;
Monaco;MCO;EURO;REPORTING;23/12/2023;71929;25123;183;64;25261;64;;30/06/2021;;17747;45;
Republic of Moldova;MDA;EURO;REPORTING;23/12/2023;2293086;1109524;57;28;1078961;27;;03/03/2021;;406022;10;
Madagascar;MDG;AFRO;REPORTING;31/12/2023;3092063;2710365;11;10;2628849;9;;10/05/2021;;169187;1;
Mexico;MEX;AMRO;REPORTING;29/12/2023;2.22E+08;9.67E+07;172;75;8.13E+07;63;;24/12/2020;;5.70E+07;44;
North Macedonia;MKD;EURO;REPORTING;23/12/2023;1862987;854570;89;41;838181;40;;17/02/2021;;161633;8;
Mali;MLI;AFRO;REPORTING;31/12/2023;5922585;4354292;29;22;3633589;18;;31/03/2021;;;;
Malta;MLT;EURO;REPORTING;23/12/2023;1282437;450535;249;88;444904;86;;23/12/2020;;354901;69;
Montenegro;MNE;EURO;REPORTING;23/12/2023;526975;272152;84;43;254365;40;;24/02/2021;;;;
Mozambique;MOZ;AFRO;REPORTING;31/12/2023;3.50E+07;2.29E+07;112;73;2.13E+07;68;;08/03/2021;;2323562;7;
Mauritania;MRT;AFRO;REPORTING;31/12/2023;4075874;2103754;88;45;1540597;33;;26/03/2021;;383937;8;
Montserrat;MSR;AMRO;REPORTING;29/12/2023;4619;2104;92;42;1952;39;;08/02/2021;;563;11;
